description,rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,longitude,latitude,website,phoneNumber,city,country,state,region,yearFounded,stateCode,collegeType,carnegieClassification,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
"A large Jesuit university in the heart of St. Louis, MO, Saint Louis University is the oldest college west of the Mississippi River. <br>While they aren’t required to attend Mass, all SLU students take a theological foundations class that is an “exploration of the Judeo­-Christian religious traditions.” <br>SLU students can easily study abroad via the university’s campus in Madrid, which accommodates undergraduates of any major. <br>Students can choose from 150 organizations on campus, including more than 35 club sports and 25 fraternities and sororities. The university is also partnered with 500 organizations for volunteer and service learning opportunities. <br>SLU’s alumni network includes James Gunn, director of Guardians of the Galaxy, and Walter Halloran, the priest that inspired The Exorcist.",203,Saint Louis University,MO,14756,Urban,109100.0,-90.233777,38.634531,http://www.slu.edu,(800) 758-3678,St. Louis,United States,Missouri,Midwest,1818.0,MO,Private not-for-profit,Doctoral Universities: High Research Activity,9,14756,9802,64544919.0,98.0,98.0
"Brooklyn College, part of the City University of New York public university system, aims to provide students a first-rate, affordable education that uses the entire city as a living classroom. The classically-designed campus sits on 35 acres with grassy quads and gardens. <br>There are about 80 bachelor’s programs offered at the college. Business, psychology and accounting are by far the most popular majors.  <br>Undergraduate students may participate in research across all disciplines. The college is home to more than 30 research centers and institutes. <br>There are more than 160 clubs and organizations available on campus, including many professional and cultural organizations. <br>Brooklyn College is one of the most diverse colleges in the nation. In fall 2020, about 24% of undergraduates identified as Latino, about 22% identified as Black and 22% identified as Asian. The college is also dedicated to social mobility for first-generation college students and those who are immigrants. ",204,"CUNY, Brooklyn College",NY,21566,Urban,108000.0,-73.952666,40.631798,http://www.brooklyn.cuny.edu,(718) 951-5000,Brooklyn,United States,New York,Northeast,1930.0,NY,Public,Master's Colleges & Universities: Larger Programs,17,21566,17946,16268086.0,91.0,91.0
"Temple is a large public university in Philadelphia known for its research, global reach and entrepreneurial spirit.<br>Over 1,000 students participate in Temple’s study abroad opportunities. The university also has satellite campuses in Japan and Rome where students can study and pursue internships. <br>There are more than 150 majors for undergraduates at Temple. Many students pursue marketing, finance and accounting in the Fox School of Business. <br>The university helps budding entrepreneurs with the Innovation and Entrepreneurship Institute and the Small Business Development Center. <br>About 82% of undergraduates receive financial aid. All applicants are automatically considered for merit scholarships ranging from $1,000 to full tuition. The “Coca-Cola First Generation Scholarship” gives $5,000 a year to five students who are the first in their families to attend college.",205,Temple University,PA,42075,Urban,102900.0,-75.162369,39.95227,http://www.temple.edu,215-204-8561,Philadelphia,United States,Pennsylvania,Northeast,1884.0,PA,Public,Doctoral Universities: Very High Research Activity,13,42075,30861,47265447.0,91.0,86.0
"A senior military college in Charleston, SC, the Citadel is known for its rigorous discipline and leadership training. <br>The Citadel offers students 32 undergraduate majors to choose from. The most popular programs are in business administration and engineering. Every student must complete a course each semester in one of four ROTC programs: Air Force, Army, Marines or Navy.  <br>The college charges tuition for cadets, but it awards more than $3 million in scholarships, some of which cover full cost of attendance. Graduates are not obligated to serve in the military or accept a ROTC commission. The Citadel also offers 25 grants for active duty service members enrolled in an online degree program. <br>Students follow several long standing Citadel traditions, like wearing a ring that symbolizes freedom earned through battle dating back to the American Civil War.",206,The Citadel,SC,4409,Urban,123400.0,-79.957841,32.796892,http://www.citadel.edu/root,843-225-3294,Charleston,United States,South Carolina,South,1842.0,SC,Public,Master's Colleges & Universities: Larger Programs,12,4409,3243,6165967.0,88.0,79.0
"A pioneer in inclusive education, Oberlin College is a small private liberal arts school in the town of Oberlin, OH. <br>Oberlin is split into the College of Arts & Sciences, where students can choose from more than 40 majors, and the Conservatory of Music, which houses 1,500 instruments and five electronic music studios. <br>The school’s “Art Rental” program allows students to rent artwork from the Allen Memorial Art Museum for just $5 a semester. <br>Oberlin has a long history of inclusivity: The college first admitted women and Black men in the 1830s, and Mary Jane Patterson became the first Black woman to earn a degree from an American college when she graduated from Oberlin in 1862. <br>Notable Oberlin alumni include comedic actors Ed Helms and Lena Dunham.",207,Oberlin College,OH,3057,Rural,110600.0,-82.217354,41.292925,http://www.oberlin.edu,(440) 775-8121,Oberlin,United States,Ohio,Midwest,1833.0,OH,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,3057,3038,23308919.0,87.0,85.0
"The Rhode Island School of Design is one of the oldest and best-regarded art and design schools in the U.S. <br>Freshmen are required to take the same studio curriculum their first year, which requires courses in intensive drawing, design and spatial dynamics. <br>All RISD graduates earn a Bachelor of Fine Arts degree. There are 18 majors at RISD, including Architecture, Ceramics and Jewelry and Metalsmithing. <br>RISD has a close relationship with nearby Brown University. There is a prestigious dual-degree program between the schools, where students receive a specialized arts education from RISD and a sciences and humanities focused education from Brown. <br>“Family Guy” creator Seth MacFarlane and Airbnb co-founders Brian Chesky and Joe Gebbia attended RISD. ",208,Rhode Island School of Design,RI,2557,Urban,108100.0,-71.409601,41.82509,http://www.risd.edu,401-454-6100, Providence,United States,Rhode Island,Northeast,1877.0,RI,Private not-for-profit,"Special Focus Four-Year: Arts, Music & Design Schools",9,2557,2041,5146274.0,42.0,33.0
"A public research university known for achievements in scientific innovation, the University of Pittsburgh is situated on a 132-acre campus in the heart of Pittsburgh, PA. <br>Pitt researchers developed the first polio vaccine in 1955, and the University of Pittsburgh Medical Center has performed over 20,000 organ transplants. Undergraduates are able to join the tradition and conduct faculty-mentored research at Pitt's medical institutions and in several other locations globally.  <br>Students at Pitt can choose from more than 100 majors. There is a strong emphasis on STEM fields at Pitt, and many students pursue degrees in mechanical engineering, nursing, biology, marketing and psychology. <br>Pitt houses more than 400 clubs and organizations, including dozens of Greek life organizations. <br>The university enrolls more than 5,000 Pell grant recipients and matches them dollar-for-dollar for students on all campuses. University of Pittsburgh academic scholarships range from $2,000 to covering full tuition, room and board.",209,University of Pittsburgh,PA,35563,Urban,110700.0,-79.997459,40.438335,http://www.pitt.edu,412-624-4141,Pittsburgh,United States,Pennsylvania,Northeast,1787.0,PA,Public,Doctoral Universities: Very High Research Activity,14,35563,24935,34485031.0,78.0,63.0
"Gettysburg is a private liberal arts college spanning 225 acres near the eponymous Civil War battlefield in Gettysburg, PA. The college combines a traditional liberal arts education with modern analysis and perspectives. <br>Gettysburg offers 40 majors and 40 minors for students to choose from. 19% of students opt to pursue a double major. The most popular majors are political science, organizational and management studies and economics. <br>Around 60% of Gettysburg students spend a semester abroad, with students learning overseas in 50 countries. On campus, there are more than 120 clubs and organizations in student government, performing arts, campus media and various sports clubs. <br>About 98% of students are employed or attend graduate school within a year after graduating from Gettysburg. <br>Gettysburg awarded $72 million in need-based grants and merit scholarships in the 2019-20 academic year. The college offers highly competitive merit scholarships ranging from $20,000 to $40,000.",210,Gettysburg College,PA,2638,Urban,127600.0,-77.233389,39.835319,http://www.gettysburg.edu,(717) 337-6300,Gettysburg,United States,Pennsylvania,Northeast,1832.0,PA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,10,2638,2638,22569847.0,92.0,90.0
"California State University, Sacramento is dedicated to educating a diverse student body in the state’s capital. <br>Sacramento State is classified as a Hispanic-Serving Institution, as a third of its student body identifies as Hispanic. <br>The university’s bucolic 300-acre campus is designated as a Tree Campus USA by the Arbor Day Foundation and is six miles from the State Capitol. <br>The Capital Fellows Program allows students to complete 10-month public policy fellowships in California’s legislative, executive or judicial offices. More than 2,000 students have participated in the program. <br>Black Panther director Ryan Coogler, Academy Award-winning actor Tom Hanks and journalist Lester Holt all attended Sacramento State.",211,"California State University, Sacramento",CA,35953,Urban,109800.0,-121.427322,38.567262,http://www.csus.edu,(916) 278 - 6011,Sacramento,United States,California,West,1947.0,CA,Public,Master's Colleges & Universities: Larger Programs,26,35953,32212,32637412.0,85.0,80.0
"California State University, Chico, is the second-oldest university in California’s state school system. The 130-acre campus is about 90 miles from Sacramento and in close proximity to the scenic Bidwell Park. <br>There are 70 undergraduate majors for students to choose from in the liberal arts and professional and technical areas. Business, psychology and sociology are among the most popular majors.  <br>Chico State manages the 3,950-acre Big Chico Creek Ecological Reserve and the 300-acre Butte Creek Ecological Reserve, which are both used as locations for research. The Butte Creek site was closed indefinitely to the public due to the Dixie Fire in northern California. <br>There are about 240 student organizations at Chico State, including 30 fraternity and sorority chapters, which 12% of students join. The Adventure Outings program brings students to a variety of locations in the area for outdoor activities.",212,"California State University, Chico",CA,18664,Urban,116600.0,-121.844015,39.729094,http://www.csuchico.edu,(530) 898-4636,Chico,United States,California,West,1887.0,CA,Public,Master's Colleges & Universities: Larger Programs,25,18664,17604,14608874.0,74.0,65.0
"Located just north of Baltimore, Towson University is the second largest institution in Maryland’s state university system. <br>Towson stresses the importance of internships and offers opportunities both on-campus and through study abroad. Students in any department can also participate in undergraduate research and sponsored creative projects. <br>Students can choose from 67 majors, with the most popular in the business, nursing and communications departments. <br>Students participate in a variety of annual community service events on campus, including The Big Event, a day when students, faculty, staff and alumni all work together in different community service programs. <br>The university offers merit scholarships for first-year and transfer students, many of which are awarded by individual academic departments. There is also a grant for the top 10% of students from Baltimore county and Baltimore city public schools. ",213,Towson University,MD,25370,Urban,103700.0,-76.604469,39.39292,http://www.towson.edu,410-704-2000,Towson,United States,Maryland,Northeast,1866.0,MD,Public,Doctoral/Professional Universities,16,25370,21684,16938356.0,82.0,60.0
"Colorado State University in Fort Collins is a public research university that strives to teach students the importance of community, responsibility and inclusion. The main campus spans about 580 acres in close proximity to downtown Fort Collins and the Rocky Mountains. <br>CSU offers more than 300 majors and concentrations, the most popular in communications, family studies, business and psychology. <br>Undergraduate students in any academic department may conduct research. About 5,300 undergraduates participate in research, which can be showcased at the university or published in its undergraduate research journal. <br>The university offers scholarships for both in-state and non-resident students. CSU has merit scholarships of up to $10,000 and a Native American Legacy Award for students who are members of an Indigenous tribe. <br>The CSU Rams compete in 14 NCAA Division I varsity teams in the Mountain West Conference. ",214,"Colorado State University, Fort Collins",CO,37806,Urban,108100.0,-105.079947,40.575891,http://www.colostate.edu,(970) 491-6444,Fort Collins,United States,Colorado,West,1870.0,CO,Public,Doctoral Universities: Very High Research Activity,16,37806,28641,32175829.0,81.0,67.0
"A large public school in the Queen City, the University of Cincinnati has long been a leader in higher education with over 190 fields of study. The three largest are nursing, marketing and psychology. <br>Main campus is two miles from vibrant Downtown Cincinnati, though UC has nine satellite locations in the Cincinnati area. <br>UC has a rich research tradition, making breakthrough contributions to the oral polio vaccine and the first antihistamine. The university received $525 million in research funding last year. <br>The UC Bearcats field 16 Division I varsity teams and are a powerhouse in the American Athletic Conference. Five former Bearcats took part in the Tokyo Olympics. <br>UC has produced some of the greatest athletes ever, including Baseball Hall of Famer Sandy Koufax and Basketball Hall of Famer Oscar Robertson, and some of the top leaders off the field like President William Taft and astronaut Neil Armstrong.",215,University of Cincinnati,OH,46140,Urban,107000.0,-84.561384,39.125645,http://www.uc.edu,(513) 556-1000,Cincinnati,United States,Ohio,Midwest,1819.0,OH,Public,Doctoral Universities: Very High Research Activity,19,46140,32766,25238162.0,93.0,91.0
"Grounded in Lutheran traditions, St. Olaf is a private liberal arts school in the college town of Northfield, MN. <br>The college offers numerous Bachelor of Arts degrees and five Bachelor of Music degrees. St. Olaf uses a 4-1-4 calendar, with two 14-week semesters of four courses each, separated by month-long one course interim in January. <br>In line with its founding by Norwegian Lutheran immigrants, St. Olaf offers daily worship services. The picturesque 300-acre campus is adjacent to 325 acres of natural lands. <br>Over 60% of students receive a merit scholarship. Students are automatically considered for academic awards, which range up to $25,000 annually. Talent awards for art, dance, music and theater require a separate application. <br>Of the respondents in a Class of 2020 survey, approximately 65% of students were employed and 22% were enrolled in further education.",216,St. Olaf College,MN,3149,Rural,116800.0,-93.180324,44.460376,http://wp.stolaf.edu,507-786-2222,Northfield,United States,Minnesota,Midwest,1874.0,MN,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,12,3149,3149,27998697.0,99.0,99.0
"A private research university in Henrietta, NY, the Rochester Institute of Technology is known for its STEM programs and inclusion of deaf and hard of hearing students. <br>More than 1,000 deaf and hearing impaired RIT students are enrolled in the National Technical Institute for the Deaf, “the first and largest technological college in the world for deaf and hard-of-hearing students.” <br>About 60% of undergraduates major in computer science and engineering-related fields. <br>RIT’s New Economy Majors are interdisciplinary degree programs focused on addressing modern challenges. Examples include Human-Centered Computing, Microelectronic Engineering and New Media Design. <br>Former Kodak CEO Daniel Carp, Billionaire ​​Korean businessman Koo Kwang-mo and Square co-founder Tristan O’Tierney all are RIT alumni.",217,Rochester Institute of Technology,NY,18231,Suburban,115200.0,-77.674439,43.084675,http://www.rit.edu,(585) 475-2411,Rochester,United States,New York,Northeast,1829.0,NY,Private not-for-profit,Doctoral Universities: High Research Activity,13,18231,14744,65479856.0,99.0,98.0
"Gonzaga is a private Jesuit university in Spokane, WA, known for its highly competitive basketball program and global, moral outlook. <br>All Gonzaga students complete a core curriculum based on Jesuit and humanistic principles, taking courses in the philosophy of human nature and Christianity and Catholic traditions. <br>Through the “Magis Commitment,” Pell Grant-eligible Washington residents attend Gonzaga tuition free. <br>Gonzaga is perhaps best known for its perennially elite men’s basketball team, who compete as the Bulldogs and are cheered on by the student section, appropriately known as the “Kennel Club.” The Bulldogs have appeared in every Division I NCAA tournament since 1999. <br>Among Gonzaga’s most famous alumni is singer Bing Crosby. The Bing Crosby House Museum on campus holds many of Crosby’s prized belongings, including gold records and an Academy Award.",218,Gonzaga University,WA,8397,Urban,122700.0,-117.403205,47.66853,http://www.gonzaga.edu,(800) 986.9585,Spokane,United States,Washington,West,1887.0,WA,Private not-for-profit,Doctoral/Professional Universities,11,8397,5413,31079162.0,100.0,100.0
"Western Washington University in Bellingham, WA is a public university that makes waves with its diverse academics and scenic campus. <br>There are more than 100 undergraduate majors, with popular programs in psychology, environmental science and sociology. About 41% of undergraduates are enrolled in the College of Humanities and Social Sciences. <br>The Distinguished Scholars program provides a small cohort experience for first-year students, with an emphasis on underrepresented and first-generation students, as well as academic interests. <br>WWU does not offer Greek life, but has themed residential communities, including a new residence focused on African American identities and culture. <br>The Western Undergraduate Exchange program is one of the most prestigious awards at WWU and allows select non-resident students from Western states the opportunity to attend at a reduced rate of tuition. However, the majority of students —87%— are Washington residents. ",219,Western Washington University,WA,17883,Urban,112800.0,-122.471219,48.75235,http://www.wwu.edu,360.650.3000,Bellingham,United States,Washington,West,1893.0,WA,Public,Master's Colleges & Universities: Larger Programs,18,17883,16791,16930172.0,87.0,80.0
"Spanning over 100 miles on Florida’s Southeast coast, Florida Atlantic University in Boca Raton is a large public institution that provides diverse experiences for students.  <br>Undergraduates can choose from over 60 majors. In addition to the main campus, where more than 70% of students take classes, FAU has five other locations in the state.  <br>The university has over $70 million in research expenditures and global partnerships in over 10 locations.  <br>Campus life is bustling, with more than 400 clubs and Division I athletics. Over half of the student body is from a diverse background, and the university is a Hispanic-Serving Institution.  <br>FAU boasts a 68% job placement rate.",220,Florida Atlantic University,FL,37930,Urban,99800.0,-80.089004,26.35049,http://www.fau.edu,(561) 297-3040,Boca Raton,United States,Florida,South,1964.0,FL,Public,Doctoral Universities: High Research Activity,22,37930,31632,27162923.0,87.0,82.0
"Located in Honolulu, HI, the University of Hawaii at Manoa is the state’s flagship public institution. <br>Out of 79 undergraduate fields of study, the three most popular are psychology, communications and nursing. <br>UH Manoa’s 320-acre campus is less than three miles from downtown Honolulu and Waikiki. Students have access to the island of Oahu’s 130 beaches, and the university gives students the opportunity to make the most of the nearby Pacific Ocean, offering classes in surfing, sailing, scuba diving, snorkeling. <br>The campus community is a diverse bunch: 75% of students are people of color. More than a third of the student body are Asian, and the School of Pacific and Asian Studies has eight unique centers focused on different areas of Asian studies. <br>UH Manoa is a top producer of Hawaiian leaders: Half of Hawaii’s state representatives are UH Manoa alumni.",221,"University of Hawaii, Manoa",HI,20702,Urban,101200.0,-157.820047,21.299373,http://manoa.hawaii.edu,808-956-8111,Honolulu,United States,Hawaii,West,1907.0,HI,Public,Doctoral Universities: Very High Research Activity,13,20702,15160,9586881.0,72.0,61.0
"The flagship institution of Nebraska’s state university system, the University of Nebraska, Lincoln, aims to make students economic and cultural drivers through teaching, research and service.<br>Students can choose from more than 150 undergraduate majors across 15 colleges. Many students study an area in the business, engineering or agriculture colleges.<br>There are more than 500 clubs on campus for students to be involved in, including many organizations dedicated to livestock management and agriculture. <br>The Nebraska Cornhuskers play in 22 varsity NCAA Division I teams in the Big Ten Conference. The university has won 29 championship titles in its history, including five in football and most recently in women’s bowling in 2021.<br>The “Nebraska Promise” allows in-state students from families with $60,000 in income or lower to attend the university tuition-free.",222,"University of Nebraska, Lincoln",NE,32498,Urban,109100.0,-96.700939,40.816897,http://www.unl.edu,,Lincoln,United States,Nebraska,,1869.0,,Public,Doctoral Universities: Very High Research Activity,16,32498,26359,40337626.0,93.0,85.0
"California State University, Monterey Bay, is a midsize public university in Monterey County that emphasizes educating low income and underserved communities.<br>While CSU Monterey Bay enrolls students from across California, it has a large local footprint, with 38% of students coming from nearby Monterey, San Benito and Santa Cruz counties. 53% of students are first generation college students.<br>CSU Monterey Bay offers 25 undergraduate majors, with popular programs in business, psychology and computer science.<br>72% of students receive a scholarship. CSU Monterey Bay offers special scholarships for students with visual impairments and those looking to pursue careers in teaching.<br>Notable CSU Monterey Bay alumni include Gonzaga Women’s Basketball coach Lisa Fortier.",223,California State University-Monterey Bay,CA,8493,Suburban,107700.0,,,http://https://csumb.edu,,Marina,United States,California,West,,CA,Public,Master's Colleges & Universities: Medium Programs,23,8493,7494,7068099.0,81.0,74.0
"Clarkson is a private university specializing in STEM and business in the college town of Potsdam, NY. <br>Clarkson offers about 40 undergraduate majors, the most being mechanical, chemical and civil engineering. Undergraduates can participate in research areas from advanced materials development to medicine and healthcare. <br>Students at Clarkson take part in over 200 clubs, including Greek life. The university also has more than 10 competitive engineering teams where students develop and test bridges, cars and planes. <br>The university offers a range of merit scholarships, including an annual $2,000 early decision incentive and an annual $500 scholarship for visiting campus. <br>Approximately 97% of 2020 graduates found a  full-time job in their chosen field of study, entered graduate school or joined the military within six months of graduation. ",224,Clarkson University,NY,4697,Rural,146900.0,-74.994059,44.666965,http://www.clarkson.edu,315-268-6400,Potsdam,United States,New York,Northeast,1896.0,NY,Private not-for-profit,Doctoral Universities: High Research Activity,13,4697,3193,30788988.0,100.0,100.0
"Seattle University in Seattle, WA, is a private Jesuit university with a commitment to the common good. <br>SU has over 60 undergraduate degrees. Its popular “Premajor Studies Program” allows students to spend their first two years exploring the liberal arts before declaring a major. <br> Students can take advantage of city life in Seattle, as well as outdoor adventures like kayaking, biking, climbing and snow sports. With close ties to the city, four out of five undergraduates engage in community service. <br>The university offers a number of merit awards, including the Sullivan Leadership Award that covers the cost of attendance. <br>Within six months of graduation, approximately 97% of graduates were employed, furthering their education or participating in community service.",225,Seattle University,WA,8023,Urban,129000.0,-122.316778,47.610502,http://www.seattleu.edu/default.aspx,1-206-296-6000,Seattle,United States,Washington,West,1898.0,WA,Private not-for-profit,Doctoral/Professional Universities,10,8023,5086,23878727.0,98.0,97.0
"Stevens Institute of Technology is a small private university in Hoboken, NJ, that specializes in providing students with an innovative STEM education. <br>Stevens is STEM-heavy: 57 percent of students major in an engineering field. <br>It’s not just engineers that enjoy a highly technical education at Stevens. The School of Business offers majors in quantitative finance and marketing, innovation and analytics, while the school’s Hanlon Financial Systems Center is equipped like a Wall Street trading room. <br>Stevens’ 55-acre campus on the Hudson River looks across at the New York City skyline. Manhattan is a quick 10-minute train ride for students. <br>Student entrepreneurs at Stevens are supported by the school’s Office of Innovation and Entrepreneurship, which offers guidance and mentorship for early-stage businesses. <br>Graduates of Stevens tend to do well in the New York metro area. The Class of 2020’s average starting salary was $77,000, and 86% of graduates remain in New Jersey and New York.",226,Stevens Institute of Technology,NJ,8158,Suburban,154300.0,-74.027331,40.741961,http://www.stevens.edu/sit,201-216-5000,Hoboken,United States,New Jersey,Northeast,1870.0,NJ,Private not-for-profit,Doctoral Universities: High Research Activity,12,8158,3753,29076665.0,99.0,99.0
"A small liberal arts college in Portland, OR, Reed encourages students to explore unique points of view and develop their own understanding of the school's undefined “Honor Principle.” <br>Reed is known for its rigorous first-year curriculum which is focused on the humanities. Students can choose from 40 standalone and interdisciplinary majors. <br>Students live in residential neighborhoods separated by year. Freshmen and sophomores have their own neighborhoods, while juniors and seniors can pick from several that are set aside for upperclassmen. <br>Reed College meets 100% of admitted students’ demonstrated financial need. Financial aid is awarded solely on the basis of need. <br>Despite its small student body, Reed has produced dozens of Rhodes Scholars and several notable figures in business and tech. Wikipedia co-founder Larry Sanger, billionaire chair of Ivanhoe Mines Robert Friedland and Norton founder Peter Norton all graduated from Reed. Apple founder Steve Jobs attended Reed before dropping out.",227,Reed College,OR,1562,Urban,125900.0,-122.630383,45.4792,http://www.reed.edu,(503) 771-1112,Portland,United States,Oregon,West,1908.0,OR,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,1562,1537,9154498.0,60.0,56.0
"Located on the shore of Lake Michigan, Loyola University Chicago is one of the largest Jesuit universities in the country. Most students live and study at the 30-acre Lake Shore campus, while several of the university’s colleges operate out of the Water Tower campus in downtown Chicago.<br>Students choose from more than 80 majors. Nursing is a popular program at LUC, as well as biology and psychology.<br>In addition to merit scholarships, there are special scholarships for undergraduate researchers, students who graduate from a Catholic high school and students who are undocumented immigrants. <br>There are more than 250 clubs and organizations for students to join. The LUC Ramblers play in 13 NCAA Division I teams.  <br>LUC has 150 different study abroad programs, including university centers in Rome and Ho Chi Minh City, Vietnam. <br>Within three months of graduating, 98% of students were employed or attending graduate school.",228,Loyola University Chicago,IL,19692,Urban,113900.0,-87.657347,41.998266,http://www.luc.edu,773.274.3000,Chicago,United States,Illinois,Midwest,1870.0,IL,Private not-for-profit,Doctoral Universities: High Research Activity,14,19692,13878,60213922.0,99.0,98.0
"A private Roman Catholic liberal arts school, New York City’s Manhattan College is located in Riverdale, an upscale neighborhood in the Bronx. <br>Students at Manhattan College enjoy a traditional 23-acre college campus within New York City. <br>Civil engineering, mechanical engineering, finance and communications are the most popular majors at Manhattan College. <br>The new 30,000-square-foot Higgins Engineering and Science Center will open this fall, and houses 14 new laboratories. <br>Notable Manhattan College alumni include best-selling author James Patterson and  former New York City mayor Rudy Giuliani.",229,Manhattan College,NY,4322,Urban,139000.0,-73.906976,40.900199,http://www.manhattan.edu,718-862-8000,Riverdale,United States,New York,Northeast,1853.0,NY,Private not-for-profit,Master's Colleges & Universities: Larger Programs,11,4322,3661,24158670.0,100.0,100.0
"CSU East Bay is a large, public university in Hayward, CA, known for the diversity of its student body and its dedication to serving the population of the larger Bay Area.<br>Undergraduates can choose from 49 bachelor’s degrees, including popular programs in business, psychology and health science. Before the pandemic, a quarter of CSUEB’s courses were taught online or in hybrid form.<br>The Bay Area’s diversity is reflected in CSUEB’s student body. 10% of undergraduates are Black, 23% are Asian-American, 37% are Latinx and 60% are women. The vast majority of students are from California.<br>Hands-on learning and community service are popular amongst students. More than 6,000 students engaged in community learning in the 2018-2019 school year.<br>Notable CSUEB alumni include cartoonist Gene Luen Yang, Juniper Networks Chairman Scott Kriens and Tony Award winner James Monroe Iglehart.",230,"California State University, East Bay",CA,18717,Suburban,112100.0,-122.0326019,37.6561165,http://www.csueastbay.edu,510-885-3000,Hayward,United States,California,West,1957.0,CA,Public,Master's Colleges & Universities: Larger Programs,26,18717,15329,10704095.0,85.0,80.0
"The University of Mississippi is the largest public research institution in the state, with the main campus spanning about 1,200 acres in Oxford, MS. Known as Ole Miss, the university aims to transform communities through discovery and learning.<br>The university offers more than 90 majors for students to choose from across 15 schools and colleges. Communications, accounting and nursing are the most popular majors. <br>Undergraduates at Ole Miss can participate in research programs guided by faculty across many different disciplines. <br>There are multiple scholarships of up to $40,000 for Mississippi residents who show high academic achievement, as well as many scholarships of various amounts that fall under certain areas of study. <br>Nearly 6,800 students participate in the university’s 32 Greek life organizations.The Ole Miss Rebels compete in 16 NCAA Division I sports in the Southeastern Conference. The football team has won six conference titles and three national championships in its history.",231,University of Mississippi,MS,24309,Rural,97600.0,-89.530204,34.36997,http://www.olemiss.edu,,Lafayette,United States,Mississippi,,1844.0,,Public,Doctoral Universities: Very High Research Activity,16,24309,19151,30638509.0,87.0,82.0
"Chapman is a private research university located 15 miles from the coast in Orange, CA. About 20% of students are first generation, and 40% of students identify as people of color. <br>There are about 50 majors for undergraduates to choose from. All first-year students live in residence hall learning communities with other students in the same program or college. Many students study business administration, cinematography or psychology. <br>About 42% of students take part in more than 90 semester and year-long abroad programs. <br>Thousands of students participate in campus traditions like the “Undie Run” during finals week, when students march down Glassell Street wearing only their underwear.  <br>More than 80% of undergraduates receive some form of financial aid. The average award in fall 2020 was $28,000.",232,Chapman University,CA,10654,Urban,108000.0,-117.85221,33.793282,http://www.chapman.edu,(714) 997-6815,Orange,United States,California,West,1861.0,CA,Private not-for-profit,Doctoral Universities: High Research Activity,12,10654,7988,44650554.0,89.0,85.0
"Located in the heart of the state’s capital, Virginia Commonwealth University is a sprawling public research university that uses the city as its launching pad for research and discovery. <br>VCU offers more than 70 undergraduate majors. Popular programs include health and physical education, business and biology. <br>The university has powerhouse research, with over $300 million in sponsored research. Interdisciplinary research strengths include neuroscience, cancer, substance abuse and addiction, the human microbiome and nanoscience, nanomedicine and nanotechnology. <br>Students are engaged during their time at VCU—83% of seniors had one or more co-curricular experiences prior to graduation, and students put in over 1 million hours of volunteer work. <br>Six months after graduation, 48% of the Class of 2020 were employed full-time and about 9% were continuing education. The top industry students went into was healthcare, and nearly three-fourths of seniors remained in Virginia.",233,Virginia Commonwealth University,VA,32628,Urban,96100.0,-77.452545,37.549316,http://www.vcu.edu,804-828-0100,Richmond,United States,Virginia,South,1838.0,VA,Public,Doctoral Universities: Very High Research Activity,18,32628,24766,40918621.0,83.0,73.0
"Originally founded as a school for mining engineers and surveyors in 1870, the Missouri University of Science and Technology in Rolla is now a hub for STEM learning in Missouri’s public university system. <br>Two-thirds of students study in the engineering school, but many students also pursue information studies and geological sciences at Missouri S&T.<br>Every student must participate in experiential learning, such as research, an internship or study abroad. Many students complete an undergraduate research program as upperclassmen to gain marketable skills and the chance to present at conferences. <br>Upon admission, all students are automatically considered for merit scholarships, including scholarships for students from outside of Missouri. There are also merit scholarships for international students in all degree programs. <br>There are more than 200 student clubs at Missouri S&T. About 22% of students participate in 24 Greek life chapters. There are also 19 interdisciplinary design teams that lead different projects in different locations and environments.",234,Missouri University of Science and Technology,MO,8618,Rural,132000.0,-76.0761959,42.1216594,http://www.mst.edu,1-800-522-0938,Rolla,United States,Missouri,Midwest,1870.0,MO,Public,Doctoral Universities: High Research Activity,19,8618,6629,12477615.0,99.0,97.0
"Michigan Technological University in Houghton, MI, is a public research university that prides itself on its expansive hands-on experiences. <br>Undergraduates can choose from over 60 majors, with engineering being the most popular program. The “Enterprise Program” is a project-based curriculum that allows students of any major to work with clients to invent products and provide services, serving more as a business than a class. <br>The university funds approximately 110,000 hour of undergraduate research annually, with topics ranging from geophysics to wildlife management. The Summer Undergraduate Research Fellowship provides awards of up to $4,000 for students who participate in research with a faculty mentor over the summer. <br>Michigan Tech offers co-op programs and encourages students to take part in internships. Students can also study abroad in more than 150 locations. It’s not all work and no play; on campus, there are over 200 student organizations, including Greek life. <br> Michigan Tech students have an average five year placement rate of 93% within six months of graduation.",235,Michigan Technological University,MI,7786,Rural,124400.0,-88.551421,47.119024,http://www.mtu.edu,906-487-1885,Houghton,United States,Michigan,Midwest,1885.0,MI,Public,Doctoral Universities: High Research Activity,13,7786,6296,17892362.0,99.0,99.0
